index,modelname,num_groups,group_id,mean,std,fast_gini,avg_rscore,min_rscore,max_rscore,fast_gini_min,fast_gini_mean,fast_gini_max
6453,bm25,10000,6453,0.3492267818859107,0.22764879905607308,0.25950650551225407,0.34922678188591066,0.21667906533553166,2.051410819326791,0.14495754789550494,0.2441684082821426,0.6615901062253292
6454,bm25,10000,6454,0.4268980143309265,0.562206233892497,0.3809812142281972,0.4268980143309265,0.21667906533553166,7.0441064038603045,0.14495754789550494,0.2441684082821426,0.6615901062253292
6455,bm25,10000,6455,0.35719056829716034,0.24635743610977234,0.2728354914530675,0.35719056829716034,0.21667906533553166,2.3626875978985926,0.14495754789550494,0.2441684082821426,0.6615901062253292
6456,bm25,10000,6456,0.31357906539582636,0.16595023268849338,0.1998604795527857,0.31357906539582636,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6457,bm25,10000,6457,0.30208116633131277,0.15763139357711026,0.18425672501427115,0.30208116633131277,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6458,bm25,10000,6458,0.31330803768156895,0.1752310405016283,0.20488916770182294,0.313308037681569,0.21667906533553166,1.961033201965755,0.14495754789550494,0.2441684082821426,0.6615901062253292
6459,bm25,10000,6459,0.3229244732404704,0.19224424528301853,0.22356632218861408,0.3229244732404704,0.21667906533553166,1.673602815952732,0.14495754789550494,0.2441684082821426,0.6615901062253292
6460,bm25,10000,6460,0.3142003215927473,0.18770153673102513,0.20971688757895324,0.3142003215927473,0.21667906533553166,1.782318312784072,0.14495754789550494,0.2441684082821426,0.6615901062253292
6461,bm25,10000,6461,0.3812016961556106,0.368213826141376,0.30894748893687835,0.38120169615561056,0.21667906533553166,11.226408466781823,0.14495754789550494,0.2441684082821426,0.6615901062253292
6462,bm25,10000,6462,0.32858720050541634,0.23075796657021239,0.2321163655622172,0.3285872005054164,0.21667906533553166,4.671042125269162,0.14495754789550494,0.2441684082821426,0.6615901062253292
6463,bm25,10000,6463,0.3564379543732304,0.23844617650954888,0.27256518073231323,0.3564379543732304,0.21667906533553166,1.6922375555181752,0.14495754789550494,0.2441684082821426,0.6615901062253292
6464,bm25,10000,6464,0.31576428536374157,0.18342441461780812,0.2117232891919808,0.31576428536374157,0.21667906533553166,1.7085676265638154,0.14495754789550494,0.2441684082821426,0.6615901062253292
6465,bm25,10000,6465,0.4264147221615856,0.44605796774715467,0.3654957195715946,0.42641472216158566,0.21667906533553166,4.087855217472306,0.14495754789550494,0.2441684082821426,0.6615901062253292
6466,bm25,10000,6466,0.38690198643419366,0.32252881807892547,0.3143415241059146,0.38690198643419366,0.21667906533553166,4.257028341397323,0.14495754789550494,0.2441684082821426,0.6615901062253292
6467,bm25,10000,6467,0.35900987509663657,0.22268309613692808,0.2631918389184789,0.35900987509663657,0.21667906533553166,1.9565933832587141,0.14495754789550494,0.2441684082821426,0.6615901062253292
6468,bm25,10000,6468,0.3545553595437943,0.26140646166808423,0.2683294065702035,0.35455535954379425,0.21667906533553166,2.9915877513780234,0.14495754789550494,0.2441684082821426,0.6615901062253292
6469,bm25,10000,6469,0.3443412258698902,0.25270803160733435,0.2624253301335358,0.3443412258698902,0.21667906533553166,2.6016911964087823,0.14495754789550494,0.2441684082821426,0.6615901062253292
6470,bm25,10000,6470,0.33453063824065643,0.2045513145858839,0.2363204621035999,0.3345306382406564,0.21667906533553166,2.8853900817779268,0.14495754789550494,0.2441684082821426,0.6615901062253292
6471,bm25,10000,6471,0.37760145791414096,0.2821241491095559,0.29059038088888767,0.3776014579141409,0.21667906533553166,3.0007667654768158,0.14495754789550494,0.2441684082821426,0.6615901062253292
6472,bm25,10000,6472,0.3418614022267943,0.22064788344341918,0.24919176108348842,0.3418614022267943,0.21667906533553166,2.834877489003201,0.14495754789550494,0.2441684082821426,0.6615901062253292
6473,bm25,10000,6473,0.31835251721098534,0.19248260997938416,0.21573713098984762,0.31835251721098534,0.21667906533553166,2.33289123828248,0.14495754789550494,0.2441684082821426,0.6615901062253292
6474,bm25,10000,6474,0.3533113056506582,0.2541504616952214,0.27425638361555543,0.3533113056506582,0.21667906533553166,2.352934267515801,0.14495754789550494,0.2441684082821426,0.6615901062253292
6475,bm25,10000,6475,0.33411710004113965,0.21858262291702382,0.24118226619156177,0.3341171000411397,0.21667906533553166,2.530447292368236,0.14495754789550494,0.2441684082821426,0.6615901062253292
6476,bm25,10000,6476,0.3823812232041934,0.2963314018482018,0.3022122980491864,0.3823812232041934,0.21667906533553166,3.140736802371829,0.14495754789550494,0.2441684082821426,0.6615901062253292
6477,bm25,10000,6477,0.31966260987440503,0.17620512402203578,0.2131386697973239,0.31966260987440503,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6478,bm25,10000,6478,0.30208116633131277,0.15723483598390545,0.18425672501427115,0.30208116633131277,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6479,bm25,10000,6479,0.35084920595971286,0.23523465461107612,0.2586847440325484,0.35084920595971286,0.21667906533553166,2.44635615520353,0.14495754789550494,0.2441684082821426,0.6615901062253292
6480,bm25,10000,6480,0.31466788159511744,0.17134454108998193,0.2026000678061478,0.31466788159511744,0.21667906533553166,1.6813781929799938,0.14495754789550494,0.2441684082821426,0.6615901062253292
6481,bm25,10000,6481,0.36286025985743275,0.23628928953750983,0.27120293517631877,0.36286025985743275,0.21667906533553166,1.8325662861402434,0.14495754789550494,0.2441684082821426,0.6615901062253292
6482,bm25,10000,6482,0.31947479400491363,0.20234287555556768,0.21839145222844997,0.31947479400491363,0.21667906533553166,3.0742817879602824,0.14495754789550494,0.2441684082821426,0.6615901062253292
6483,bm25,10000,6483,0.4100649316714653,0.31836030061061055,0.3178776114589166,0.41006493167146524,0.21667906533553166,2.703551839455206,0.14495754789550494,0.2441684082821426,0.6615901062253292
6484,bm25,10000,6484,0.3179801750855924,0.17053388902228755,0.20969391449495287,0.31798017508559234,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6485,bm25,10000,6485,0.35039939928540553,0.2224325856926207,0.2583490638659951,0.3503993992854056,0.21667906533553166,1.9565933832587141,0.14495754789550494,0.2441684082821426,0.6615901062253292
6486,bm25,10000,6486,0.30359916214202287,0.15789882075923153,0.18636680415529303,0.30359916214202287,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6487,bm25,10000,6487,0.30208116633131277,0.15763139357711026,0.18425672501427115,0.3020811663313127,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6488,bm25,10000,6488,0.3724288352029883,0.26066208863064627,0.2832816791648131,0.37242883520298836,0.21667906533553166,2.7872287494190524,0.14495754789550494,0.2441684082821426,0.6615901062253292
6489,bm25,10000,6489,0.40077103327537345,0.3357848670979139,0.3224119725577309,0.4007710332753735,0.21667906533553166,4.6810412465316515,0.14495754789550494,0.2441684082821426,0.6615901062253292
6490,bm25,10000,6490,0.3313668293583923,0.21722713753475872,0.2356624050174682,0.33136682935839235,0.21667906533553166,2.8309110610843553,0.14495754789550494,0.2441684082821426,0.6615901062253292
6491,bm25,10000,6491,0.31835251721098534,0.191536963788415,0.21614932776516452,0.31835251721098534,0.21667906533553166,2.408579545597716,0.14495754789550494,0.2441684082821426,0.6615901062253292
6492,bm25,10000,6492,0.36775098509898946,0.32460699750263694,0.30649044196788877,0.36775098509898946,0.21667906533553166,3.003419601947421,0.14495754789550494,0.2441684082821426,0.6615901062253292
6493,bm25,10000,6493,0.5063788337345705,0.9407023055637541,0.46844916232225425,0.5063788337345705,0.21667906533553166,19.503316975673645,0.14495754789550494,0.2441684082821426,0.6615901062253292
6494,bm25,10000,6494,0.30982683726288485,0.16652236863893824,0.19671509953356633,0.3098268372628849,0.21667906533553166,1.6660420977300603,0.14495754789550494,0.2441684082821426,0.6615901062253292
6495,bm25,10000,6495,0.30950939173290243,0.16543813043733036,0.1984399499806873,0.30950939173290243,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6496,bm25,10000,6496,0.32822607057355074,0.20266825030876887,0.2314833336322514,0.3282260705735508,0.21667906533553166,2.225539419793118,0.14495754789550494,0.2441684082821426,0.6615901062253292
6497,bm25,10000,6497,0.30732374791336425,0.16347086781692302,0.1933692024991131,0.30732374791336425,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6498,bm25,10000,6498,0.34467288741959073,0.2539720611910968,0.2596055000687327,0.34467288741959073,0.21667906533553166,2.9745907973249617,0.14495754789550494,0.2441684082821426,0.6615901062253292
6499,bm25,10000,6499,0.3046196635273742,0.15921450655321032,0.18845680606474877,0.3046196635273742,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6500,bm25,10000,6500,0.502272723116197,0.5212631653671437,0.4128340941200929,0.502272723116197,0.21667906533553166,5.149547584866791,0.14495754789550494,0.2441684082821426,0.6615901062253292
6501,bm25,10000,6501,0.32255073201700746,0.19979044195620146,0.2228753983599997,0.3225507320170075,0.21667906533553166,3.1374195579184754,0.14495754789550494,0.2441684082821426,0.6615901062253292
6502,bm25,10000,6502,0.41380981689220925,0.38640947847496765,0.3417219129524405,0.4138098168922093,0.21667906533553166,4.218193550419505,0.14495754789550494,0.2441684082821426,0.6615901062253292
6503,bm25,10000,6503,0.3762576804838415,0.21633876691645568,0.266042482756649,0.3762576804838415,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6504,bm25,10000,6504,0.3044491038053544,0.1616754363212179,0.18889725717445816,0.3044491038053544,0.21667906533553166,1.6696212288054757,0.14495754789550494,0.2441684082821426,0.6615901062253292
6505,bm25,10000,6505,0.3155443938001178,0.17886363910019223,0.20902149343555973,0.3155443938001178,0.21667906533553166,1.7298820888836843,0.14495754789550494,0.2441684082821426,0.6615901062253292
6506,bm25,10000,6506,0.33867710955861907,0.22002357246490062,0.24631062428751951,0.3386771095586191,0.21667906533553166,2.467818743456444,0.14495754789550494,0.2441684082821426,0.6615901062253292
6507,bm25,10000,6507,0.31466788159511744,0.17018246503416123,0.2053847818226084,0.31466788159511744,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6508,bm25,10000,6508,0.3319573256388052,0.27349960865355094,0.2505535497641567,0.33195732563880526,0.21667906533553166,2.769966658940047,0.14495754789550494,0.2441684082821426,0.6615901062253292
6509,bm25,10000,6509,0.33122934904749207,0.20093878470874146,0.2337064206344069,0.331229349047492,0.21667906533553166,1.9571278097169738,0.14495754789550494,0.2441684082821426,0.6615901062253292
6510,bm25,10000,6510,0.4671358242236795,0.4660367693077662,0.38859160955437916,0.4671358242236795,0.21667906533553166,4.288702519364348,0.14495754789550494,0.2441684082821426,0.6615901062253292
6511,bm25,10000,6511,0.5170093311293861,0.45054635119359077,0.3903436302652752,0.5170093311293861,0.21667906533553166,3.3512196813691397,0.14495754789550494,0.2441684082821426,0.6615901062253292
6512,bm25,10000,6512,0.30208116633131277,0.15763139357711026,0.18425672501427115,0.30208116633131277,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6513,bm25,10000,6513,0.9547135726840517,1.5260388954332524,0.5973164562861792,0.9547135726840517,0.21667906533553166,10.639382174422682,0.14495754789550494,0.2441684082821426,0.6615901062253292
6514,bm25,10000,6514,0.3624973995975753,0.25282453484397494,0.2763915558446555,0.36249739959757526,0.21667906533553166,2.597173604191773,0.14495754789550494,0.2441684082821426,0.6615901062253292
6515,bm25,10000,6515,0.32657423387168943,0.19783734016843546,0.22913247756580976,0.32657423387168943,0.21667906533553166,2.0640299754485754,0.14495754789550494,0.2441684082821426,0.6615901062253292
6516,bm25,10000,6516,0.3118832100765766,0.171849054558588,0.2009996935748237,0.3118832100765766,0.21667906533553166,1.677289246610574,0.14495754789550494,0.2441684082821426,0.6615901062253292
6517,bm25,10000,6517,0.3283490938383834,0.2208504341750489,0.23382774294831227,0.32834909383838345,0.21667906533553166,3.0137096562384547,0.14495754789550494,0.2441684082821426,0.6615901062253292
6518,bm25,10000,6518,0.3862930515745687,0.26591863662042436,0.29886868992874327,0.3862930515745688,0.21667906533553166,1.9565933832587141,0.14495754789550494,0.2441684082821426,0.6615901062253292
6519,bm25,10000,6519,0.3350729660671558,0.2325935254645485,0.24283263926390006,0.3350729660671557,0.21667906533553166,4.68754987889525,0.14495754789550494,0.2441684082821426,0.6615901062253292
